have got him away from 213
have got him into their 81
have got his ideas from 67
have got his name from 104
have got his name into 59
have got its corn laws 118
have got its name from 1826
have got off very well 45
have got our army away 44
have got them away from 62
have got them into some 60
have got them into such 95
have got this from nothing 52
have got too much into 72
have got you away from 97
have got you safe back 51
have had all their teeth 85
have had all these four 55
have had all these years 333
have had all those years 89
have had all your life 212
have had and have been 81
have had and have lost 43
have had and have their 43
have had and must have 74
have had and will have 2638
have had any bearing upon 91
have had any clear ideas 49
have had any help from 47
have had any news from 186
have had any other kind 112
have had any other meaning 126
have had any other means 40
have had any other name 287
have had any other view 41
have had any very clear 144
have had any very great 121
have had any word from 76
have had bad news from 255
have had but five good 43
have had but poor health 54
have had far less time 58
have had for five years 115
have had for four years 68
have had for many days 124
have had for many years 3444
have had for some days 300
have had for some time 7389
have had for some years 1054
have had for such their 65
have had for their main 58
have had for these last 102
have had for three days 51
have had for three years 144
have had for years past 228
have had had know knew 53
have had had there been 102
have had has been from 50
have had has been lost 82
have had has been more 46
have had has been very 82
have had has come from 134
have had her hair done 51
have had her life over 74
have had her pious wish 45
have had him join their 119
have had him only three 56
have had him three years 103
have had him wait till 124
have had him work away 59
have had his eyes open 196
have had his eyes torn 65
have had his eyes upon 56
have had his pick among 48
have had his pick from 41
have had its birth only 56
have had its name from 307
have had its rise from 153
have had may have been 45
have had not only their 82
have had one single drop 56
have had one such case 131
have had our eyes upon 86
have had sad news from 58
have had ten more years 44
have had that fool over 44
have had that have been 273
have had that much more 199
have had that much time 43
have had that name among 53
have had that very great 53
have had them during much 46
have had them look upon 41
have had them some days 50
have had them writ more 111
have had they been able 47
have had this cloth upon 50
have had this from lord 59
have had this great good 48
have had this last week 94
have had this same kind 46
have had this very turn 156
have had this work done 49
have had too many good 40
have had too many other 68
have had too many such 62
have had too many years 102
have had too much beer 69
have had too much else 127
have had too much faith 137
have had too much good 95
have had too much rain 68
have had too much talk 51
have had too much time 239
have had too much wine 505
have had too much work 76
have had too much wrong 45
have had two full years 44
have had two main aims 54
have had two more years 48
have had two very good 120
have had with their eyes 42
have had you into mine 76
have had you make love 69
have had you sent away 60
have had you stay away 84
have had you will have 73
have her for your wife 194
have her old life back 135
have her own free will 104
have hid his face from 1876
have him for three years 56
have his eye upon fish 43
have his head done into 59
have his job back when 41
have his old life back 44
have his old room back 43
have his own hand here 192
have his own radio show 47
have his own talk show 41
have his path made clear 97
have his way clear back 49
have hit him very hard 71
have hot and cold fits 96
have ice for their wine 42
have its own home page 72
have led for many years 107
have led for some time 66
have led for some years 77
have led her away from 99
have led him away from 476
have led him into many 160
have led him into more 46
have led him into some 270
have led him into such 358
have led his army into 244
have led men away from 52
have led men into such 100
have led them away from 225
have led them back into 40
