have him come and sit 43
have him come for you 122
have him come out and 207
have him feel that his 54
have him give you his 48
have him here with her 76
have him here with you 52
have him hold her and 146
have him home with her 44
have him kiss her and 42
have him know that she 198
have him know that they 52
have him live with her 96
have him live with them 134
have him live with you 100
have him living with her 89
have him make his own 57
have him ready for you 65
have him sent for and 57
have him show you how 88
have him stay for his 61
have him stay with her 169
have him stay with them 124
have him stay with you 55
have him take off his 58
have him tell her that 174
have him tell you how 61
have him tell you that 100
have him there with her 181
have him think she was 223
have him think that she 90
have him throw you out 46
have him turn his head 88
have him wait for you 45
have him walk with him 71
have him work for them 45
have his beard cut off 73
have his copy set him 54
have his evil way with 63
have his eyes and ears 172
have his eyes and his 122
have his eyes put out 2491
have his feet cut off 159
have his finger cut off 46
have his foot cut off 130
have his hair cut and 506
have his hair cut for 109
have his hair cut off 481
have his hair cut with 43
have his hand and his 205
have his hand cut off 1544
have his heart cut out 209
have his heart with you 44
have his home and his 55
have his jest with them 53
have his legs cut off 78
have his life and his 106
have his lips cut off 50
have his maid lay all 45
have his meals with his 53
have his meals with them 94
have his mind and his 137
have his name and his 162
have his nose and ears 214
have his nose cut off 304
have his nose put out 116
have his pomp and all 57
have his room than his 72
have his sons with him 55
have his tail cut off 99
have his trial put off 46
have his wife and her 55
have his wife and his 141
have his wife and son 98
have his wife and two 122
have his wife with him 893
have his will with her 129
have his word for that 149
have his word for this 51
have his work and his 53
have his work cut out 2445
have hit upon one that 146
have hit upon this idea 68
have hung over him long 54
have hung upon his rear 142
have its gate and its 80
have its good and bad 79
have its root and its 68
have its time and its 62
have its will and that 40
have its work cut out 612
have jam made for her 40
have led more than one 322
have led their men out 87
have long been and are 319
have long been cut off 207
have long been dead and 305
have long been doing for 52
have long been with him 68
have long felt for you 171
have long felt that any 43
have long felt that his 40
have long felt that one 269
have long felt that our 176
have long felt that they 214
have long felt that this 274
have long felt that too 77
have long felt that you 77
have long hair and are 105
have long hair and long 54
have long hair and they 43
have long hair and wear 492
have long heard and read 50
have long held that all 151
have long held that one 95
have long held that they 61
have long held that this 107
have long left off using 54
have long legs and are 90
have long legs and can 70
have long legs and long 225
have long life and are 46
have long said that they 43
have long seen that you 100
have long told you that 49
have low birth and death 66
have low body fat and 46
have mean zero and are 92
have men among them who 51
have met here this day 51
have met many men and 138
have met many men who 308
have met many who are 61
have met more than his 42
have met more than one 501
have met only one man 101
have met only one who 58
have met only two men 41
have met some one who 105
have met some who are 50
have met those who are 49
have met very few men 159
have met very few who 120
have new ideas and new 63
have new meaning for you 44
have nor ever had any 48
have not been all bad 101
have not been all that 4395
have not been all they 68
have not been all this 122
have not been and are 1837
have not been and can 959
have not been and may 166
have not been and they 45
